iter	MultiClass	Accuracy:use_weights=true	Accuracy:use_weights=false
200	0.4709269353	0.7970006905	0.8068548387
201	0.4708475542	0.7969513849	0.8068044355
202	0.4706631467	0.7970575256	0.8069304435
203	0.4706240258	0.7970314242	0.8068800403
204	0.4705516231	0.7970350902	0.8069052419
205	0.4704404258	0.7971744303	0.80703125
206	0.470370327	0.7971801689	0.8070564516
207	0.47026277	0.7972196092	0.8070816532
208	0.4701744643	0.7973119593	0.8071572581
209	0.4700308494	0.7973114885	0.8071572581
210	0.4696462083	0.7972563619	0.8071068548
211	0.4692172457	0.7972758936	0.8070816532
212	0.4691391357	0.7974751595	0.8072832661
213	0.4690645516	0.7975244407	0.8072832661
214	0.4688691657	0.7973509694	0.8071320565
215	0.4688484584	0.7974075375	0.8071824597
216	0.4682764254	0.7976201727	0.8073840726
217	0.4679182988	0.7976436914	0.8074092742
218	0.4678163042	0.7977013904	0.8074596774
219	0.4676958955	0.7978148547	0.8075856855
220	0.4675104769	0.7978190997	0.8075100806
221	0.467430474	0.7981007817	0.8077872984
222	0.4671475911	0.7980634455	0.8077620968
223	0.4671418263	0.7980634455	0.8077620968
224	0.467066349	0.7982450645	0.8079133065
225	0.4669348361	0.7982975202	0.8079889113
226	0.4667841564	0.7983516047	0.8080141129
227	0.4666908187	0.7985538047	0.8081905242
228	0.4666063497	0.7986225473	0.808266129
229	0.4663163106	0.7987441961	0.8083669355
230	0.4660307494	0.7987602303	0.8083669355
231	0.4660105135	0.7987547136	0.8083669355
232	0.4659202708	0.798857793	0.8084425403
233	0.465816858	0.7988206684	0.8084173387
234	0.465289913	0.7988261373	0.8084425403
235	0.4652493072	0.7989062139	0.8084929435
236	0.4652321085	0.7989297326	0.8085181452
237	0.4650861439	0.7989133323	0.8084929435
238	0.4648999225	0.7991441688	0.8087449597
239	0.4643460902	0.7992754712	0.8088709677
240	0.4642993684	0.799404037	0.8089969758
241	0.4638027382	0.799927349	0.8094506048
242	0.4632075718	0.8008419164	0.8102570565
243	0.4631604267	0.8006490966	0.8100806452
244	0.4631165015	0.8007828209	0.8102066532
245	0.4629625625	0.8007116601	0.81015625
246	0.4628790853	0.8006701215	0.8100554435
247	0.4627597083	0.8007585091	0.8101310484
248	0.4625019843	0.8006308768	0.8100302419
249	0.4624381717	0.8006424801	0.8100302419
250	0.4622922065	0.8005609993	0.8099546371
